Step,AgentID,pos,route,current_goal,current_activity,mental_health,physical_health,leisure,social_inclusion,self_determination,food,Höchste Preference bei Tanks,Höchste Preference bei Route,quality of life
0,0,5,[],workplace,Activity.SLEEPING,76,85,73,90,84,73,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,1,2,[],workplace,Activity.SLEEPING,74,86,72,77,79,80,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,2,19,[],workplace,Activity.SLEEPING,90,88,96,74,81,81,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,3,16,[],workplace,Activity.SLEEPING,99,73,81,78,89,96,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,4,11,[],workplace,Activity.SLEEPING,81,86,99,84,86,92,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,5,22,[],workplace,Activity.SLEEPING,85,88,92,85,71,82,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,6,17,[],workplace,Activity.SLEEPING,70,90,81,99,72,95,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,7,22,[],workplace,Activity.SLEEPING,73,80,77,71,72,71,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,8,5,[],workplace,Activity.SLEEPING,97,90,86,73,98,88,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,9,2,[],workplace,Activity.SLEEPING,77,87,77,98,87,99,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,10,2,[],workplace,Activity.SLEEPING,94,73,78,97,70,78,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,11,22,[],workplace,Activity.SLEEPING,74,73,77,99,70,85,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,12,16,[],workplace,Activity.SLEEPING,91,98,83,71,80,86,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,13,19,[],workplace,Activity.SLEEPING,94,94,78,76,77,95,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,14,11,[],workplace,Activity.SLEEPING,95,97,89,93,92,77,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,15,2,[],workplace,Activity.SLEEPING,86,85,97,76,98,89,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,16,2,[],workplace,Activity.SLEEPING,76,72,78,98,96,94,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,17,2,[],workplace,Activity.SLEEPING,77,70,97,89,91,98,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,18,16,[],workplace,Activity.SLEEPING,76,82,88,74,99,73,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,19,11,[],workplace,Activity.SLEEPING,96,96,92,96,76,99,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,20,5,[],workplace,Activity.SLEEPING,71,72,98,97,74,98,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,21,2,[],workplace,Activity.SLEEPING,94,85,98,81,94,90,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,22,11,[],workplace,Activity.SLEEPING,87,83,96,95,83,92,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,23,2,[],workplace,Activity.SLEEPING,75,80,95,73,75,87,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,24,17,[],workplace,Activity.SLEEPING,84,90,87,84,70,89,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,25,11,[],workplace,Activity.SLEEPING,75,83,83,89,77,84,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,26,19,[],workplace,Activity.SLEEPING,90,95,74,79,71,77,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,27,19,[],workplace,Activity.SLEEPING,98,88,82,83,70,76,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,28,2,[],workplace,Activity.SLEEPING,92,93,76,80,99,76,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,29,16,[],workplace,Activity.SLEEPING,81,94,95,91,74,78,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,30,22,[],workplace,Activity.SLEEPING,89,74,74,98,89,77,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,31,5,[],workplace,Activity.SLEEPING,94,87,95,82,84,74,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,32,11,[],workplace,Activity.SLEEPING,84,96,92,73,83,75,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,33,22,[],workplace,Activity.SLEEPING,78,89,90,92,96,78,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,34,16,[],workplace,Activity.SLEEPING,93,70,75,95,94,85,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,35,2,[],workplace,Activity.SLEEPING,86,85,70,88,91,78,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,36,17,[],workplace,Activity.SLEEPING,74,94,89,83,87,85,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,37,22,[],workplace,Activity.SLEEPING,84,86,95,83,95,83,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,38,16,[],workplace,Activity.SLEEPING,92,89,95,99,87,83,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,39,5,[],workplace,Activity.SLEEPING,77,81,98,97,88,98,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,40,22,[],workplace,Activity.SLEEPING,91,82,77,71,71,71,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,41,11,[],workplace,Activity.SLEEPING,85,95,79,76,73,70,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,42,19,[],workplace,Activity.SLEEPING,83,84,77,82,97,81,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,43,11,[],workplace,Activity.SLEEPING,82,85,78,92,72,70,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,44,2,[],workplace,Activity.SLEEPING,81,99,89,79,70,87,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,45,16,[],workplace,Activity.SLEEPING,99,76,87,92,75,97,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,46,17,[],workplace,Activity.SLEEPING,97,82,82,90,70,83,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,47,22,[],workplace,Activity.SLEEPING,73,70,95,88,86,82,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,48,11,[],workplace,Activity.SLEEPING,73,71,89,97,94,77,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,49,22,[],workplace,Activity.SLEEPING,82,91,96,82,70,74,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,50,17,[],workplace,Activity.SLEEPING,91,72,73,89,93,83,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,51,19,[],workplace,Activity.SLEEPING,77,94,83,94,77,77,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,52,5,[],workplace,Activity.SLEEPING,90,85,93,72,87,97,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,53,17,[],workplace,Activity.SLEEPING,86,95,71,77,71,95,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,54,22,[],workplace,Activity.SLEEPING,84,90,70,81,91,72,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,55,11,[],workplace,Activity.SLEEPING,97,93,85,82,71,87,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,56,5,[],workplace,Activity.SLEEPING,82,86,74,84,87,98,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,57,11,[],workplace,Activity.SLEEPING,94,78,75,79,70,84,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,58,22,[],workplace,Activity.SLEEPING,78,74,82,73,84,70,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,59,11,[],workplace,Activity.SLEEPING,94,88,93,96,74,96,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,60,16,[],workplace,Activity.SLEEPING,88,72,83,71,86,88,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,61,5,[],workplace,Activity.SLEEPING,84,81,84,93,95,70,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,62,17,[],workplace,Activity.SLEEPING,94,78,95,85,80,87,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,63,17,[],workplace,Activity.SLEEPING,76,91,93,96,76,84,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,64,16,[],workplace,Activity.SLEEPING,75,99,79,86,75,92,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,65,5,[],workplace,Activity.SLEEPING,75,94,71,92,72,83,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,66,22,[],workplace,Activity.SLEEPING,71,88,84,80,81,75,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,67,19,[],workplace,Activity.SLEEPING,78,80,81,91,71,91,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,68,11,[],workplace,Activity.SLEEPING,73,93,91,96,89,71,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,69,17,[],workplace,Activity.SLEEPING,87,80,80,77,80,95,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,70,11,[],workplace,Activity.SLEEPING,81,98,78,95,90,94,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,71,11,[],workplace,Activity.SLEEPING,95,95,89,91,70,70,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,72,17,[],workplace,Activity.SLEEPING,82,99,90,72,96,89,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,73,5,[],workplace,Activity.SLEEPING,80,75,93,73,86,88,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,74,22,[],workplace,Activity.SLEEPING,80,97,81,76,92,91,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,75,22,[],workplace,Activity.SLEEPING,85,71,80,89,99,99,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,76,16,[],workplace,Activity.SLEEPING,84,73,76,93,97,72,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,77,2,[],workplace,Activity.SLEEPING,88,96,77,82,92,95,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,78,19,[],workplace,Activity.SLEEPING,86,77,71,79,74,76,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,79,19,[],workplace,Activity.SLEEPING,90,93,70,91,77,86,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,80,17,[],workplace,Activity.SLEEPING,82,99,87,88,74,94,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,81,2,[],workplace,Activity.SLEEPING,88,92,85,80,76,82,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,82,5,[],workplace,Activity.SLEEPING,78,73,81,88,73,74,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,83,17,[],workplace,Activity.SLEEPING,74,75,97,81,84,81,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,84,2,[],workplace,Activity.SLEEPING,99,78,88,77,89,79,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,85,22,[],workplace,Activity.SLEEPING,86,81,74,90,99,84,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,86,17,[],workplace,Activity.SLEEPING,73,96,70,90,81,84,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,87,16,[],workplace,Activity.SLEEPING,95,96,74,78,77,93,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,88,19,[],workplace,Activity.SLEEPING,89,88,73,94,75,96,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,89,2,[],workplace,Activity.SLEEPING,73,97,81,92,88,72,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,90,11,[],workplace,Activity.SLEEPING,88,97,99,97,70,95,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,91,16,[],workplace,Activity.SLEEPING,83,78,82,73,86,78,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,92,22,[],workplace,Activity.SLEEPING,75,80,82,98,79,83,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,93,2,[],workplace,Activity.SLEEPING,75,78,86,93,76,88,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,94,19,[],workplace,Activity.SLEEPING,90,96,82,86,74,96,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,95,2,[],workplace,Activity.SLEEPING,94,95,95,76,80,96,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,96,17,[],workplace,Activity.SLEEPING,92,96,90,72,84,79,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,97,11,[],workplace,Activity.SLEEPING,76,83,76,73,96,73,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,98,2,[],workplace,Activity.SLEEPING,91,82,81,98,83,78,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,99,19,[],workplace,Activity.SLEEPING,83,74,80,88,78,96,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,100,17,[],workplace,Activity.SLEEPING,94,85,70,88,82,87,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,101,22,[],workplace,Activity.SLEEPING,79,90,88,70,92,96,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,102,19,[],workplace,Activity.SLEEPING,71,76,85,73,97,97,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,103,17,[],workplace,Activity.SLEEPING,92,80,79,85,89,71,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,104,11,[],workplace,Activity.SLEEPING,70,71,94,73,75,97,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,105,2,[],workplace,Activity.SLEEPING,88,74,88,90,81,75,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,106,11,[],workplace,Activity.SLEEPING,87,85,87,86,97,79,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,107,22,[],workplace,Activity.SLEEPING,71,89,80,96,77,81,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,108,2,[],workplace,Activity.SLEEPING,97,97,96,81,70,93,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,109,11,[],workplace,Activity.SLEEPING,93,75,93,90,88,83,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,110,17,[],workplace,Activity.SLEEPING,92,91,80,99,74,73,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
