Step,AgentID,pos,route,current_goal,current_activity,mental_health,physical_health,leisure,social_inclusion,self_determination,food,Höchste Preference bei Tanks,Höchste Preference bei Route,quality of life
0,0,15,[],workplace,Activity.SLEEPING,86,86,97,91,94,77,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,1,5,[],workplace,Activity.SLEEPING,82,86,72,88,73,90,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,2,22,[],workplace,Activity.SLEEPING,98,97,81,90,94,74,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,3,26,[],workplace,Activity.SLEEPING,98,99,98,90,90,91,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,4,18,[],workplace,Activity.SLEEPING,98,89,83,79,94,93,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,5,14,[],workplace,Activity.SLEEPING,72,94,97,91,94,71,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,6,13,[],workplace,Activity.SLEEPING,77,79,98,85,83,78,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,7,2,[],workplace,Activity.SLEEPING,70,96,70,96,75,84,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,8,16,[],workplace,Activity.SLEEPING,77,98,95,80,74,82,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,9,26,[],workplace,Activity.SLEEPING,73,99,89,92,85,73,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,10,16,[],workplace,Activity.SLEEPING,93,74,80,73,80,89,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,11,14,[],workplace,Activity.SLEEPING,91,89,88,75,87,80,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,12,26,[],workplace,Activity.SLEEPING,75,80,95,83,90,80,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,13,16,[],workplace,Activity.SLEEPING,84,92,76,70,89,74,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,14,14,[],workplace,Activity.SLEEPING,94,90,73,87,79,85,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,15,15,[],workplace,Activity.SLEEPING,92,73,93,94,82,82,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,16,18,[],workplace,Activity.SLEEPING,72,88,90,91,92,95,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,17,18,[],workplace,Activity.SLEEPING,76,96,87,85,85,92,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,18,18,[],workplace,Activity.SLEEPING,89,82,91,78,89,88,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,19,22,[],workplace,Activity.SLEEPING,72,75,80,90,74,72,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,20,18,[],workplace,Activity.SLEEPING,98,72,87,84,82,95,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
